dtm,soc_up,soc_down,max_power,min_power
2019-01-01 00:00:00,0.0,0.045689149000000144,0.0,-0.630355
2019-01-01 00:30:00,-0.04059292600000003,0.0005276009999999999,0.55,-0.183333
2019-01-01 01:00:00,-6.133000000000001e-05,0.04430253100000008,0.036667,-0.44
2019-01-01 01:30:00,0.0,0.005370733999999999,0.0,-0.23466700000000001
2019-01-01 02:00:00,-0.0731942380000002,0.0022013329999999998,0.645333,-0.14666700000000002
2019-01-01 02:30:00,-0.0021586030000000007,0.0810121300000004,0.33,-0.66
2019-01-01 03:00:00,-0.13599847500000098,0.00012882,1.151333,-0.08800000000000001
2019-01-01 03:30:00,-0.0004117899999999997,0.0,0.07333300000000001,0.0
2019-01-01 04:00:00,-0.03393199999999997,0.0010817279999999997,0.608667,-0.12466700000000001
2019-01-01 04:30:00,-0.0532860430000001,0.0,0.403333,0.0
2019-01-01 05:00:00,-0.07177819500000023,0.0,0.55,0.0
2019-01-01 05:30:00,-0.002284554000000001,0.04249048300000007,0.22,-0.865333
2019-01-01 06:00:00,0.0,0.034888079999999995,0.0,-0.748
2019-01-01 06:30:00,-0.05038710800000018,0.011303190999999987,0.7186670000000001,-0.22
2019-01-01 07:00:00,-0.08191191600000006,0.0037604740000000024,1.041333,-0.22
2019-01-01 07:30:00,-0.018134003999999974,0.00036751600000000013,0.476667,-0.07333300000000001
2019-01-01 08:00:00,-0.05416548700000005,0.0,0.77,0.0
2019-01-01 08:30:00,-0.08436617900000035,0.0,0.44,0.0
2019-01-01 09:00:00,-0.05999512000000003,0.0,0.425333,0.0
2019-01-01 09:30:00,-0.04288400600000008,0.0,0.755333,0.0
2019-01-01 10:00:00,-0.0003066519999999999,0.05166626300000012,0.14666700000000002,-0.535333
2019-01-01 10:30:00,-0.016218561999999968,0.007075741000000002,0.25666700000000003,-0.293333
2019-01-01 11:00:00,-0.0010919039999999992,0.02121018399999994,0.095333,-0.308
2019-01-01 11:30:00,-0.0005892120000000001,0.021134403999999957,0.07333300000000001,-0.476667
2019-01-01 12:00:00,-0.10295028500000007,0.00030026500000000013,0.55,-0.07333300000000001
2019-01-01 12:30:00,-0.09507156000000012,0.0,0.66,0.0
2019-01-01 13:00:00,-0.02335036800000005,2.0839e-05,0.528,-0.036667
2019-01-01 13:30:00,0.0,0.000386464,0.0,-0.11
2019-01-01 14:00:00,-0.14434809200000015,0.0,0.7186670000000001,0.0
2019-01-01 14:30:00,-0.006197635999999996,0.022826141999999924,0.35200000000000004,-0.44
2019-01-01 15:00:00,-0.044951692,0.0320065909999999,0.645333,-0.403333
2019-01-01 15:30:00,-0.046133414000000095,0.011634731999999974,0.586667,-0.366667
2019-01-01 16:00:00,-0.10060330500000028,0.0,0.586667,0.0
2019-01-01 16:30:00,-0.12316189300000015,0.001310948,1.136667,-0.183333
2019-01-01 17:00:00,-0.09611636000000036,0.00016481500000000004,0.894667,-0.07333300000000001
2019-01-01 17:30:00,-2.5189000000000002e-05,0.009869092999999976,0.036667,-0.308
2019-01-01 18:00:00,-0.044570617000000014,0.0018660209999999987,0.513333,-0.198
2019-01-01 18:30:00,-0.06519287200000018,0.0017457289999999995,0.88,-0.14666700000000002
2019-01-01 19:00:00,-0.0737264760000001,0.0,0.894667,0.0
2019-01-01 19:30:00,-0.03991826000000005,0.004749378999999994,0.645333,-0.22
2019-01-01 20:00:00,-0.04100467900000001,0.0,0.88,0.0
2019-01-01 20:30:00,-0.04252150900000002,0.003390099000000001,0.5720000000000001,-0.308
2019-01-01 21:00:00,-0.02115234500000003,0.020654186,0.33,-0.491333
2019-01-01 21:30:00,-0.027884427000000024,0.026277812999999886,0.366667,-0.491333
2019-01-01 22:00:00,-0.014373156999999984,0.04349076500000002,0.608667,-0.733333
2019-01-01 22:30:00,-0.065100853,0.01974862899999997,0.821333,-0.564667
2019-01-01 23:00:00,-0.0037630429999999993,0.038388064999999874,0.168667,-0.476667
2019-01-01 23:30:00,-0.032186273999999994,0.05870500400000021,0.66,-0.843333
2019-01-02 00:00:00,-0.010288134000000018,0.01369873,0.366667,-0.66
2019-01-02 00:30:00,-0.05517633000000013,0.02490532899999997,0.806667,-0.586667
2019-01-02 01:00:00,-0.001198126999999999,0.032629851999999966,0.14666700000000002,-0.564667
2019-01-02 01:30:00,-0.0064823870000000035,0.12491297600000036,0.278667,-1.085333
2019-01-02 02:00:00,-0.007457093000000001,0.10800225100000008,0.293333,-0.564667
2019-01-02 02:30:00,0.0,0.10969875599999976,0.0,-0.638
2019-01-02 03:00:00,-0.0038057740000000022,0.06161296200000008,0.14666700000000002,-0.755333
2019-01-02 03:30:00,0.0,0.058795973000000126,0.0,-0.902
2019-01-02 04:00:00,-0.021019828999999983,0.01968137399999989,0.35200000000000004,-0.44
2019-01-02 04:30:00,-0.02379280299999999,0.016720369,0.35200000000000004,-0.916667
2019-01-02 05:00:00,-0.05587292600000005,0.02663114499999995,0.696667,-0.916667
2019-01-02 05:30:00,-8.980500000000001e-05,0.04972060699999984,0.036667,-0.623333
2019-01-02 06:00:00,-0.046341425999999984,0.020922230999999944,0.9286200000000001,-0.865333
2019-01-02 06:30:00,-0.017271014999999976,0.031031941999999837,0.425333,-0.528
2019-01-02 07:00:00,-0.07981787700000023,0.00655856499999999,0.66,-0.381333
2019-01-02 07:30:00,-0.03202528500000003,0.004914199999999994,0.535333,-0.344667
2019-01-02 08:00:00,-0.02395928100000004,0.0039859009999999966,0.403333,-0.271333
2019-01-02 08:30:00,-0.06302875999999988,0.011478435,0.638,-0.388667
